Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Godrej Properties,3.7,Real Estate ,"('1k-5k Employees', '')",Mumbai,Public, 34 years old,1k,6.4k,19,78,114
Adani Ports and SEZ,3.9,Ports & Shipping ,"('1k-5k Employees', '')",Ahmedabad,Public, 26 years old,1k,3.9k,--,54,144
Edelweiss,3.8,Financial Services ,"('1k-5k Employees', '')",Mumbai,Public, 7 years old,1k,7.3k,6,56,133
Amara Raja Energy & Mobility,4.2,Auto Components ,"('5k-10k Employees', '')",Tirupati,Fortune India 500, 39 years old,1k,3.6k,15,60,122
Dixon Technologies,4.1,Electronics Manufacturing ,"('1k-5k Employees', '')",Noida,Public, 31 years old,994,4.9k,6,96,124
Punjab National Bank,4.0,Banking ,"('', '1')",Delhi/NCR,Fortune India 500, 130 years old,978,2.8k,--,35,98
Oil And Natural Gas Corporation,4.3,Oil & Gas ,"('10k-50k Employees', '')",Delhi/NCR,Public, 68 years old,976,3.4k,--,68,147
DCM Shriram,4.3,Chemicals ,"('5k-10k Employees', '')",Delhi/NCR,Public, 34 years old,965,4.4k,8,77,133
SKF,4.0,Auto Components ,"('1k-5k Employees', '')",Gothenburg,Public, 101 years old,961,4.3k,16,59,162
Atul,3.9,Chemicals ,"('1k-5k Employees', '')",Valsad,Public, 77 years old,959,4.8k,3,74,122
The Jaypee Group,3.9,Engineering & Construction ,"('10k-50k Employees', '')",Noida,Public, 45 years old,958,3.5k,--,38,116
DISH TV,3.5,Broadcasting ,"('201-500 Employees', '')",Noida,Public, 21 years old,954,3.4k,10,52,103
PNB Housing Finance,3.8,NBFC ,"('1k-5k Employees', '')",Delhi/NCR,Public, 36 years old,950,4k,16,41,92
Sonata Software,3.5,IT Services & Consulting ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 38 years old,936,10.8k,33,102,89
Hatsun Agro Product,4.0,Food Processing ,"('5k-10k Employees', '')",Chennai,Public, 54 years old,900,4.3k,7,59,110
GAIL,4.5,Oil & Gas ,"('1k-5k Employees', '')",Delhi/NCR,Fortune India 500, 40 years old,899,3.2k,--,75,93
Godrej Consumer Products,4.2,FMCG ,"('1k-5k Employees', '')",Mumbai,Public, 23 years old,892,4.4k,--,40,129
Nykaa,3.5,Internet ,"('1k-5k Employees', '')",Mumbai,Public, 12 years old,885,5.4k,1,103,63
Kirloskar Oil Engines,4.2,Industrial Machinery ,"('1k-5k Employees', '')",Pune,Public, 78 years old,872,3.7k,2,45,108
Karur Vysya Bank,3.7,Banking ,"('5k-10k Employees', '')",Karur,Public, 108 years old,869,3.7k,33,60,62
MedPlus,3.6,501,"('501-1k Employees', '')",Hyderabad,Fortune India 500, 18 years old,868,3.4k,18,71,62
PNC Infratech,3.9,Engineering & Construction ,"('5k-10k Employees', '')",Delhi/NCR,Public, 25 years old,867,3.3k,5,53,81
The Ramco Cements,4.2,Building Material ,"('1k-5k Employees', '')",Chennai,Public, 63 years old,859,3.5k,--,49,101
JK Lakshmi Cement,3.9,Building Material ,"('1k-5k Employees', '')",Delhi/NCR,Public, 42 years old,858,3.4k,1,54,101
H.G. Infra Engineering,4.3,Engineering & Construction ,"('1k-5k Employees', '')",Jaipur,Public, 21 years old,848,2.6k,6,68,94
Strides Pharma,3.9,Pharma ,"('201-500 Employees', '')",Bangalore/Bengaluru,Public, 34 years old,845,4k,4,55,150
